"NOMBRE";"SEXO";"AÑO.DE.NACIMIENTO";"G.PARLAMENTARIO";"ECIVIL";"NIVEL.ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"RANGO.EDAD"
"Jose Juan, Díaz Trillo";"Hombre";1958;"PSOE";"Casado/a";"Educación Superior";"Huelva";NA;NA;"Diputado. Vocal Suplente de la Diputación Permanente. Presidente de la Comisión de Transición Ecológica desde el 21/06/2018 al 05/03/2019.";"60-64"
"María del Carmen, Dueñas Martínez";"Mujer";1964;"PP";"Casado/a";"Educación Superior";"Melilla";NA;NA;"Diputada.  Asesora Jurídica del Centro de Información y Asesoramiento a la Mujer de la Ciudad Autónoma de Melilla. Portavoz de la Comisión de Igualdad.Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1).";"55-59"
"Jose Ignacio, Echániz Salgado";"Hombre";1963;"PP";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Concejal en el Ayuntamiento de Guadalajara. Diputado regional en la Asamblea de Madrid. Diputado Regional en las Cortes de Castilla-La Mancha. Consejero de Sanidad en la Comunidad de Madrid. Consejero de Sanidad y Asuntos Sociales en la Junta de";"55-59"
"María Gloria, Elizo Serrano";"Mujer";1966;"Podemos";"Casado/a";"Educación Superior";"Toledo";NA;NA;"Diputada. Secretaria de Acción Institucional, miembro del Consejo de Coordinación y responsable del Equipo legal y reglamentación. Secretaria Segunda de la Diputación Permanente. Vicepresidenta Cuarta del Congreso de los Diputados desde el 19/07/2016 al 0";"50-54"
"Odón, Elorza González";"Hombre";1955;"PSOE";"Casado/a";"Educación Superior";"Gipuzkoa";NA;NA;"Diputado. Vocal de la Diputación Permanente. Vicepresidente Segundo de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019.";"60-64"
"Francesc Xavier, Eritja Ciuró";"Hombre";1970;"Esquerra Republicana";"Divorciado/a";"Educación Superior";"Lleida";NA;NA;"Diputado.Dinamizador cultural y activista político encabezando entidades como el Ateneu Popular de Ponent, la Assemblea Nacional Catalana y Omnium Cultural. Vocal Suplente de la Diputación Permanente.Secretario Segundo de la Comisión de Cultura desde el 1";"45-49"
"Beatriz Marta, Escudero Berzal";"Mujer";1964;"PP";"Casado/a";"Educación Superior";"Segovia";NA;NA;"Diputada. Vocal Suplente de la Diputación Permanente. Vocal de la Delegación española en la Asamblea Parlamentaria de la Organización para la Seguridad y Cooperación en Europa (OSCE).";"55-59"
"Carolina, España Reina";"Mujer";1969;"PP";"Divorciado/a";"Educación Superior";"Málaga";NA;NA;"Diputada. ortavoz del Pacto de Toledo en la X Legislatura. Primera Teniente de Alcalde. Vocal Suplente de la Diputación Permanente.Portavoz de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";"50-54"
"Aitor, Esteban Bravo";"Hombre";1962;"EAJ-PNV";"Casado/a";"Educación Superior";"Bizkaia";NA;NA;"Diputado. Vocal de la Diputación Permanente.Portavoz de la Comisión de Asuntos Exteriores desde el 13/09/2016 al 05/03/2019.";"55-59"
"Marcelo, Éxposito Prieto";"Hombre";1966;"Podemos";"Soltero/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Miembro de la Dirección Ejecutiva de Barcelona En Comú. Activista en movimientos por los derechos sociales.Vocal Suplente de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP)";"50-54"
"Elena, Faba de la Encarnación";"Mujer";1963;"Ciudadanos";"Divorciado/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Presidenta del Círculo de Mujeres de Negocios. Vicepresidenta Segunda de la Comisión de Seguimiento y Evaluación de los Acuerdos Pacto de Toledo desde el 28/09/2016 al 05/03/2019. Portavoz adjunta de la Comisión de Derechos de la Infancia y Adol";"55-59"
"Sonia, Farré Fidalgo";"Mujer";1976;"Podemos";"Soltero/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Ha participado en la Plataforma Auditoría Ciudadana de la Deuda y en el Procés Constituent. ";"40-44"
"Miguel Anxo, Fernández Bello";"Hombre";1958;"Podemos";"Soltero/a";"No consta";"Lugo";NA;NA;"Diputado. Secretario General de la Asociación de Escritores en Lingua Galega y Presidente del Gremio de Editores de Galicia. Secretario Primero de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019.";"60-64"
"Sofía, Fernández Castañón";"Mujer";1983;"Podemos";"Soltero/a";"No consta";"Asturias";NA;NA;"Diputada. Miembro del Consejo Ciudadano Estatal y de la Secretaría de Feminismos Interseccional y LGTBI de Podemos. Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Igualdad desde el 14/09/2016 al 05/03/2019. Portavoz de la Comisión ";"35-39"
"Jesús María, Fernández Díaz";"Hombre";1957;"PSOE";"Casado/a";"Educación Superior";"Navarra";NA;NA;"Diputado. Exviceconsejero de Sanidad del Gobierno Vasco. Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";"60-64"
"Jorge, Fernández Díaz";"Hombre";1950;"PP";"Casado/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Ministro del Interior. Vocal Suplente de la Diputación Permanente.";"65-69"
"Eduardo, Fernández García";"Hombre";1966;"PP";"Casado/a";"Educación Superior";"León";NA;NA;"Diputado. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.Vocal de la Comisión de Justicia desde el 13/09/2016 al 05/03/2019. Vocal de la Comisión de Defensa desde el 13/09/2016 al 05/03/2019. Vicepresidente Primero de l";"50-54"
"Alexandra, Fernández Gómez";"Mujer";1988;"Podemos";"Soltero/a";"Cursando estudios";"Pontevedra";NA;NA;"Diputada. Portavoz adjunta de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";"30-34"
"Sonia, Ferrer Tesoro";"Mujer";1973;"PSOE";"Divorciado/a";"Educación Superior";"Almería";NA;NA;"Diputada. Portavoz de la Comisión de Derechos de la Infancia y Adolescencia desde el 28/09/2016 al 05/03/2019.";"45-49"
