"NOMBRE";"SEXO";"AÑO.DE.NACIMIENTO";"G.PARLAMENTARIO";"ECIVIL";"NIVEL.ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"RANGO.EDAD"
"Maria Teresa de, Lara Carbó";"Mujer";1942;"PP";"Divorciado/a";"Educación Superior";"Madrid";NA;NA;"Diputada. Presidenta de la Comisión de Medio Ambiente y Cambio Climático del PP.";"75-79"
"José Javier, Lasarte Iribarren";"Hombre";1961;"PSOE";"Casado/a";"Educación Superior";"Álava";NA;NA;"Diputado.  Jefe de Servicio de Desarrollo Económico de la Diputación Foral de Álava. Secretario de Economía, Industria y Energía de la Comisión Ejecutiva del Partido Socialista de Euskadi (PSE-EE PSOE).";"55-59"
"Adriana, Lastra Fernández";"Mujer";1979;"PSOE";"Casado/a";"No consta";"Asturias";NA;NA;"Diputada. Vocal de la Diputación Permanente.";"40-44"
"Mikel, Legarda Uriarte";"Hombre";1956;"EAJ-PNV";"Casado/a";"Educación Superior";"Álava";NA;NA;"Diputado. Director de Desarrollo Autonómico y Transferencias del Gobierno Vasco. 
Viceconsejero de Seguridad del Gobierno Vasco. Asesor de Asuntos Constitucionales y Asesor de Asuntos Parlamentarios. Vocal de la Diputación Permanente.Ponente de la Ponenci";"60-64"
"José Ignacio, Llorens Torres";"Hombre";1943;"PP";"Casado/a";"Educación Superior";"Lleida";NA;NA;"Diputado. Presidente de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019.";"75-79"
"Patxi, López Álvarez";"Hombre";1959;"PSOE";"Casado/a";"Educación Superior";"Bizkaia";NA;NA;"Diputado. Vocal de la Diputación Permanente. Presidente de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";"60-64"
"Susana, López Ares";"Mujer";1967;"PP";"Casado/a";"Educación Superior";"Asturias";NA;NA;"Diputada. Vocal Suplente de la Diputación Permanente. Miembro de la Delegación española en la Conferencia sobre Estabilidad, Coordinación Económica y Gobernanza en la Unión Europea (CECEG).";"50-54"
"Juan Antonio, Lopéz de Uralde Garmendía";"Hombre";1963;"Podemos";"Casado/a";"No consta";"Álava";NA;NA;"Diputado. Cofundador del Partido Equo. Actualmente co-portavoz del partido.Portavoz de la Comisión de Transición Ecológica desde el 21/06/2018 al 05/03/2019.";"55-59"
"Miguel, Lorenzo Torres";"Hombre";1961;"PP";"Soltero/a";"Educación Superior";"A Coruña";NA;NA;"Diputado. Concejal. Vicepresidente Segundo de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 05/03/2019.";"55-59"
"María Pilar, Lucio Carrasco";"Mujer";1972;"PSOE";"Casado/a";"Educación Superior";"Cáceres";NA;NA;"Diputada. Gestión de proyectos de desarrollo de recursos humanos y desarrollo rural. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Miembro Titular de la Delegación española en la Asamblea de la Unión Interp";"45-49"
"César, Luena López";"Hombre";1980;"PSOE";"Soltero/a";"Educación Superior";"La Rioja";NA;NA;"Diputado. Vocal Suplente de la Diputación Permanente. Vicepresidente Primero de la Comisión de Cooperación Internacional para el Desarrollo desde el 18/07/2017 al 05/03/2019.";"35-39"
"Jorge, Luis Bail";"Hombre";1984;"Podemos";"Casado/a";"No consta";"Huesca";NA;NA;"Diputado. Activista ecologista y social. Secretario Segundo de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";"35-39"
"Teófilo de, Luis Rodríguez";"Hombre";1952;"PP";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Secretario IV de la Mesa del Congreso de los Diputados. Presidente de la Comisión sobre Seguridad Vial y Movilidad Sostenible desde el 29/11/2016 al 05/03/2019.";"65-69"
"Ana María, Madrazo Díaz";"Mujer";1961;"PP";"Casado/a";"Educación Superior";"Cantabria";NA;NA;"Diputada. Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 10/09/2018 al 05/03/2019.";"55-59"
"Ana, Marcello Santos";"Mujer";1984;"Podemos";"Soltero/a";"Educación Superior";"León";NA;NA;"Diputada. Vocal Suplente de la Diputación Permanente.Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019,";"35-39"
"María Dolores, Marcos Moyano";"Mujer";1957;"PP";"Casado/a";"No consta";"Cáceres";NA;NA;"Diputada. Primer Teniente Alcalde de Plasencia. Portavoz adjunta de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";"60-64"
"José Vicente, Marí Bosó";"Hombre";1970;"PP";"Casado/a";"Educación Superior";"Islas Baleares";NA;NA;"Diputado. Presidente del Partido Popular de Ibiza. Vicepresidente Segundo de la Comisión de Presupuestos desde el 13/09/2016 al 05/03/2019.";"45-49"
"Guillermo, Mariscal Anaya";"Hombre";1974;"PP";"Soltero/a";"Educación Superior";"Las Palmas";NA;NA;"Diputado. Vocal Suplente de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.";"45-49"
"Lucía, Martín González";"Mujer";1979;"Podemos";"Soltero/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Activista por el derecho a la vivienda. Vocal de la Diputación Permanente. Vicepresidenta Segunda de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al 05/03/2019.";"40-44"
"María Guadalupe, Martín González";"Mujer";1960;"PSOE";"Casado/a";"Educación Superior";"Toledo";NA;NA;"Diputada. Ejecutiva Provincial PSOE-Toledo. Secretaria Primera de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";"55-59"
"Marta, Martín Llaguno";"Mujer";1972;"Ciudadanos";"Divorciado/a";"Educación Superior";"Alicante";NA;NA;"Diputada. Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";"45-49"
"José Alberto, Martín-Toledano Suárez";"Hombre";1963;"PP";"Casado/a";"Educación Superior";"Ciudad Real";NA;NA;"Diputado. Miembro de las Comisiones de Reglamento, Hacienda y Administraciones Públicas. De Calidad Democrática, Lucha contra la Corrupción y Reformas Institucionales y de Interior. Portavoz. Presidente de la Delegación española en el Grupo de Control Par";"55-59"
"Jose Luis, Martínez González";"Hombre";1964;"Ciudadanos";"Casado/a";"Educación Superior";"Murcia";NA;NA;"Diputado. Coordinador de Ciudadanos en Águilas.Portavoz de la Comisión de Industria, Comercio y Turismo desde el 21/06/2018 al 05/03/2019.";"55-59"
"Isidro Manuel, Martínez Oblanca";"Hombre";1956;"Foro(G.Mixto)";"Casado/a";"Educación Superior";"Asturias";NA;NA;"Diputado. Trabajador del Hospital de la Cruz Roja de Gijón. Trabajador de ASEPEYO, Mutua de Accidentes de Trabajo. Cofundador de Foro de Ciudadanos - Foro Asturias (FAC). Vocal Suplente de la Diputación Permanente. ";"60-64"
"María Luz, Martínez Seijo";"Mujer";1968;"PSOE";"Casado/a";"Educación Superior";"Palencia";NA;NA;"Diputada. Secretaria de Acción Política y Ciudadanía del PSOE de Castilla y León. Directora de un Centro de Formación del Profesorado. Vocal de la Diputación Permanente. Portavoz de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 0";"50-54"
"Francisco, Martínez Vázquez";"Hombre";1975;"PP";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Director del Gabinete del Ministro del Interior. Secretario de Estado de Seguridad.Vocal Suplente de la Diputación Permanente.";"40-44"
"Fernando, Martínez-Maíllo Toribio";"Hombre";1969;"PP";"Casado/a";"Educación Superior";"Zamora";NA;NA;"Diputado. Coordinador General del PP. Vocal de la Diputación Permanente.";"50-54"
"Juan José, Matarí Sáez";"Hombre";1959;"PP";"Casado/a";"Educación Superior";"Almería";NA;NA;"Diputado. Miembro del Comité Ejecutivo Nacional del Partido Popular. Vocal Suplente de la Diputación Permanente. Miembro Titular de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Vicepresidente Segundo de la Comisión de Investi";"60-64"
"Jaime Miguel, Mateu Istúriz";"Hombre";1957;"PP";"Casado/a";"Educación Superior";"Burgos";NA;NA;"Diputado. Inspector de Hacienda del Estado. Miembro del Instituto de Censores Jurados de Cuentas.";"60-64"
"Oskar, Matute García de Jalón";"Hombre";1972;"Bildu";"No Consta";"Cursando estudios";"Bizkaia";NA;NA;"Diputado.Portavoz de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 05/03/2019.";"45-49"
"Fernando, Maura Barandiarán";"Hombre";1955;"Ciudadanos";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa.";"60-64"
"Eduardo Javier, Maura Zorita";"Hombre";1981;"Podemos";"Soltero/a";"Educación Superior";"Bizkaia";NA;NA;"Diputado. Responsable Estatal del Área de Cultura de Podemos. Miembro del Patronato de la Fundación Instituto 25-M Democracia. Portavoz de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019. ";"35-39"
"Rafael, Mayoral Perales";"Hombre";1974;"Podemos";"Soltero/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Secretario de Sociedad Civil y Movimiento Popular de Podemos. Miembro del Consejo Ciudadano Estatal de Podemos. Vocal de la Diputación Permanente. ";"45-49"
"Guillermo Antonio, Meijón Couselo";"Hombre";1958;"PSOE";"Casado/a";"Educación Superior";"Pontevedra";NA;NA;"Diputado. Vicepresidente Primero de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 05/03/2019.";"60-64"
"Joan, Mena Arca";"Hombre";1975;"Podemos";"Soltero/a";"Educación Superior";"Barcelona";NA;NA;"Diputado. Secretario Segundo de la Comisión Mixta para las Relaciones con el Tribunal de Cuentas desde el 23/11/2016 al 05/03/2019.";"40-44"
"Íñigo, Méndez de Vigo Montojo";"Hombre";1956;"PP";"Casado/a";"Educación Superior";"Palencia";NA;NA;"Diputado. Presidente del Colegio de Europa. Ministro de Educación, Cultura y Deporte desde 2015. Vocal de la Diputación Permanente. ";"60-64"
"María Virginia, Milán Salmerón";"Mujer";1983;"Ciudadanos";"Soltero/a";"Educación Superior";"Sevilla";NA;NA;"Diputada. Portavoz de la Comisión de Derechos de la Infancia y Adolescencia desde el 28/09/2016 al 05/03/2019.";"35-39"
"Sergi, Miquel i Valentí";"Hombre";1989;"PdeCat";"Soltero/a";"Educación Superior";"Girona";NA;NA;"Diputado. Secretario General de las Juventudes Nacionalistas de Catalunya. Vinculado al mundo del ocio juvenil.";"30-34"
"Francisco, Molinero Hoyos";"Hombre";1953;"PP";"Casado/a";"Educación Superior";"Albacete";NA;NA;"Diputado. Vocal del Comité Nacional de Derechos y Garantías del Partido Popular. Miembro del Comité Regional de CLM del Partido Popular. Vicepresidente Primero de la Comisión de Justicia desde el 11/09/2018 al 05/03/2019.";"65-69"
"María Sandra, Moneo Díez";"Mujer";1969;"PP";"Casado/a";"Educación Superior";"Burgos";NA;NA;"Diputada. Secretaria de Educación e Igualdad del Partido Popular. Miembro del C.E.N. del Partido Popular. Vocal Suplente de la Diputación Permanente.";"50-54"
"Manuel, Monereo Pérez";"Hombre";1950;"Podemos";"Casado/a";"Educación Superior";"Córdoba";NA;NA;"Diputado. Miembro de la dirección de Izquierda Unida. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.";"65-69"
"Irene María, Montero Gil";"Mujer";1988;"Podemos";"Soltero/a";"Educación Superior";"Madrid";NA;NA;"Diputada. Miembro del Consejo Ciudadano de Podemos y del Consejo de Coordinación. Responsable de la Oficina del Secretario General.Vocal de la Diputación Permanente.";"30-34"
"Alberto, Montero Soler";"Hombre";1970;"Podemos";"Casado/a";"Educación Superior";"Málaga";NA;NA;"Diputado. Responsable del área de Economía de Podemos. Presidente de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";"45-49"
"Cristóbal Ricardo, Montoro Romero";"Hombre";1950;"PP";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Ministro de Hacienda y Función Pública. Vocal de la Diputación Permanente. Presidente de la Comisión de Economía y Empresa desde el 13/09/2018 al 05/03/2019.";"65-69"
"Dolors, Montserrat Montserrat";"Mujer";1973;"PP";"Divorciado/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Ministra de Sanidad, Servicios Sociales e Igualdad. Miembro del Comité Ejecutivo del PP de Catalunya y Nacional. Vocal de la Diputación Permanente. Portavoz Titular de la Junta de Portavoces desde el 27/07/2018 al 05/03/2019.";"45-49"
"Tristana María, Moraleja Gómez";"Mujer";1971;"PP";"No Consta";"Educación Superior";"A Coruña";NA;NA;"Diputada. Funcionaria del Cuerpo Superior de la Xunta de Galicia (Grupo 1). Concejala en el Ayuntamiento de Oleiros (A Coruña). ";"45-49"
"Ramón, Moreno Bustos";"Hombre";1966;"PP";"Casado/a";"Educación Superior";"Zaragoza";NA;NA;"Diputado. Diplomado en Derecho Tributario, Marketing y Asesoría de Empresas. Vocal Suplente de la Diputación Permanente. Miembro Titular de la Delegación española en la Asamblea Parlamentaria de la OTAN.";"50-54"
"Rubén, Moreno Palanques";"Hombre";1958;"PP";"Divorciado/a";"Educación Superior";"Valencia";NA;NA;"Diputado. Secretario de Estado de Relaciones con las Cortes. Coordinador de Comisiones del GP. Secretario General de Sanidad y Consumo, Ministerio de Sanidad, Servicios Sociales e Igualdad. Presidente de la Agencia Española de Medicamentos y Productos San";"60-64"
"María Jesús, Moro Almaraz";"Mujer";1961;"PP";"Divorciado/a";"Educación Superior";"Salamanca";NA;NA;"Diputada,  Vicesecretaría de Organización del Partido Popular de Salamanca. Secretaria de Asesoría Jurídica del Partido Popular de Castilla y León. Miembro Comité Ejecutivo PP CyL y PP Salamanca.";"55-59"
"Jaume, Moya Matas";"Hombre";1972;"Podemos";"Divorciado/a";"Educación Superior";"Lleida";NA;NA;"Diputado. Activismo social, dinamización cultural.";"45-49"
"Pedro José, Muñoz González";"Hombre";1963;"PSOE";"Casado/a";"Educación Superior";"Ávila";NA;NA;"Diputado. Portavoz adjunto de la Comisión de Justicia desde el 01/07/2017 al 05/03/2019. Abogado Colegios de Abogados Ávila y Madrid.";"55-59"
"Álvaro María, Nadal Belda";"Hombre";1970;"PP";"Divorciado/a";"Educación Superior";"Madrid";NA;NA;"Diputado.Ministro de Energía, Turismo y Agenda Digital. Desde 2004 Secretario de Economía del Partido Popular. Desde 2011 Secretario de Estado Director de la Oficina Económica del Presidente del Gobierno. Vocal de la Diputación Permanente. ";"45-49"
"Fernando, Navarro Fernández-Rodríguez";"Hombre";1962;"Ciudadanos";"Casado/a";"Educación Superior";"Islas Baleares";NA;NA;"Diputado. Secretario Segundo de la Comisión de Investigación accidente del vuelo JK 5022 de Spanair desde el 18/04/2018 al 05/03/2019.";"55-59"
"Micaela, Navarro Garzón";"Mujer";1956;"PSOE";"Divorciado/a";"2ª Etapa E.Secundaria con O.Profesional";"Jaén";NA;NA;"Diputada. Presidenta del PSOE-A. Vicepresidenta Segunda de la Diputación Permanente. Vicepresidenta Segunda de la Mesa del Congreso desde el 19/07/2016 al 05/03/2019. Vicepresidenta Segunda de la Comisión de Reglamento desde el 12/09/2016 al 05/03/2019.";"60-64"
"Carmen, Navarro Lacoba";"Mujer";1978;"PP";"Casado/a";"Educación Superior";"Albacete";NA;NA;"Diputada. Presidenta de la Comisión Provincial del Partido Popular de Albacete de Sanidad y Asuntos Sociales. Coordinadora de la Ruta Social del Partido Popular de Albacete.";"40-44"
"Miriam, Nogueras i Camero";"Mujer";1980;"PdeCat";"Casado/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Co-propietaria de una empresa de nueva creación del sector textil, especializada en hilaturas. Miembro del Cercle Catalá de Negocis. Miembro de la Junta de ASECIEMA (empresarial textil) y de MODACC. ";"35-39"
"Jaime Eduardo de, Olano Vela";"Hombre";1970;"PP";"Casado/a";"Educación Superior";"Lugo";NA;NA;"Diputado. Concejal en Viveiro desde 2011. Vocal Suplente de la Diputación Permanente.";"45-49"
"Joan, Olòriz Serra";"Hombre";1954;"Esquerra Republicana";"Casado/a";"Educación Superior";"Girona";NA;NA;"Diputado. Presidente y Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";"65-69"
"Ana María, Oramas González-Moro";"Mujer";1959;"Coalicion Canaria";"Casado/a";"Educación Superior";"Santa Cruz de Tenerife";NA;NA;"Diputada. Alcaldesa de San Cristóbal de La Laguna. Viceconsejera de Administración Pública del Gobierno de Canarias. Vocal Suplente de la Diputación Permanente. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1)";"60-64"
"Gonzalo, Palacín Guarné";"Hombre";1984;"PSOE";"Casado/a";"Educación Superior";"Huesca";NA;NA;"Diputado. Secretario General del PSOE de Monzón y Concejal de Casco Histórico y Urbanismo y Desarrollo.";"35-39"
"Teresa, Palmer Tous";"Mujer";1969;"PP";"Casado/a";"Educación Superior";"Islas Baleares";NA;NA;"Diputada. Delegada del Gobierno (2012-2016). Portavoz de la Comisión de Hacienda desde el 10/09/2018 al 05/03/2019.";"50-54"
"Miguel Ángel, Paniagua Núñez";"Hombre";1964;"PP";"Casado/a";"Educación Superior";"Palencia";NA;NA;"Diputado. 18 años en el sector bancario. 7 años como Agente de Banca Privada y Asesor financiero de empresas. 2 años como Secretario de Comunicación del Sindicato CSICA-CE. Coordinador del Comité de Participación del Partido Popular de Palencia. Miembro d";"55-59"
"Sergio, Pascual Peña";"Hombre";1977;"Podemos";"Divorciado/a";"Educación Superior";"Sevilla";NA;NA;"Diputado. Experiencia en Políticas Públicas y Sociedad de la Información. Funcionario del Cuerpo Superior Facultativo de Ingenieros de la Junta de Andalucía. Delegado Sindical SAT Junta de Andalucía. Consejero Ciudadano andaluz y miembro de la Comisión de";"40-44"
"Ana María, Pastor Julián";"Mujer";1957;"PP";"Casado/a";"Educación Superior";"Pontevedra";NA;NA;"Diputada. Ministra de Sanidad y Consumo. Ministra de Fomento. Vicepresidenta del Congreso de los Diputados. Subsecretaria del Ministerio de Educación y Cultura. Subsecretaria del Ministerio de la Presidencia. Subsecretaria del Ministerio del Interior.Pres";"60-64"
"Rosana, Pastor Muñoz";"Mujer";1960;"Podemos";"Divorciado/a";"Educación Superior";"Valencia";NA;NA;"Diputada. Secretaria Segunda de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019.";"55-59"
"Esther, Peña Camarero";"Mujer";1980;"PSOE";"Soltero/a";"Educación Superior";"Burgos";NA;NA;"Diputada. Secretaria General del PSOE de Burgos. Vocal de la Diputación Permanente. Vicepresidenta Primera de la Comisión Constitucional desde el 25/07/2018 al 05/03/2019.";"35-39"
"María Mercé, Perea i Conillas";"Mujer";1966;"PSOE";"Casado/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Presidenta de la Comisión de ética del Partit dels Socialistes de Catalunya. Secretaria de Política Económica y Social de la Comisión Ejecutiva de la Federación del PSC de L'Hospitalet. Miembro del Consejo Nacional. Vocal en la Sectorial de Just";"50-54"
"Juan Vicente, Pérez Aras";"Hombre";1963;"PP";"Casado/a";"Educación Superior";"Valencia";NA;NA;"Diputado. Vocal de la Junta Directiva de AVAPOL (Asociación Valenciana de Politólogos). Miembro del Comité Ejecutivo Provincial del PP de Valencia. Miembro del Comité Ejecutivo Regional PPCV.";"55-59"
"María Soledad, Pérez Dominguez";"Mujer";1958;"PSOE";"Casado/a";"No consta";"Badajoz";NA;NA;"Diputada. Vicepresidenta Primera de la Comisión para las Políticas Integrales de la Discapacidad desde el 18/07/2017 al 05/03/2019.";"60-64"
"Margarita, Pérez Herraiz";"Mujer";1955;"PSOE";"Viudo/a";"Educación Superior";"Lugo";NA;NA;"Diputada. Vicepresidenta Segunda de la Comisión de Industria, Comercio y Turismo desde el 21/06/2018 al 05/03/2019. Vocal de la Comisión de Agricultura, Pesca y Alimentación desde el 11/07/2018 al 05/03/2019.";"60-64"
"Santiago, Pérez López";"Hombre";1961;"PP";"Casado/a";"Educación Superior";"Granada";NA;NA;"Diputado. Portavoz adjunto de la Comisión de Educación y Formación Profesional desde el 10/09/2018 al 05/03/2019. Vicepresidente Primero de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019.";"55-59"
"María del Carmen, Pita Cárdenes";"Mujer";1958;"Podemos";"Divorciado/a";"Educación Superior";"Las Palmas";NA;NA;"Diputada. Secretaria General Podemos Canarias. Vocal Suplente de la Diputación Permanente. Secretaria Segunda de la Comisión de Seguimiento y Evaluación de los Acuerdos Pacto de Toledo desde el 28/09/2016 al 05/03/2019. Presidenta de la Comisión de Invest";"60-64"
"Pere Joan, Pons Sampietro";"Hombre";1970;"PSOE";"Casado/a";"Educación Superior";"Islas Baleares";NA;NA;"Diputado. Secretario Ejecutivo Ideas Programa PSIB-PSOE. Vocal Suplente de la Diputación Permanente. Presidente de la Delegación española en la Asamblea Parlamentaria de la Organización para la Seguridad y Cooperación en Europa (OSCE).";"45-49"
"Jesús, Posada Moreno";"Hombre";1945;"PP";"Casado/a";"Educación Superior";"Soria";NA;NA;"Diputado. Gobernador Civil de Huelva. Consejero de Fomento y Presidente de Castilla y León. Presidente del Congreso de los Diputados (2011-2016).Vocal Suplente de la Diputación Permanente. Presidente de la Comisión Constitucional desde el 16/11/2016 al 05";"70-74"
"Jesús, Postigo Quintana";"Hombre";1953;"PP";"Casado/a";"Educación Superior";"Segovia";NA;NA;"Diputado. Portavoz municipal del Grupo Popular del Ayuntamiento de Segovia (2011-2015). Portavoz adjunto de la Comisión de Defensa desde el 13/09/2016 al 05/03/2019.";"65-69"
"Antoni, Postius Terrado";"Hombre";1984;"PdeCat";"Soltero/a";"Educación Superior";"Lleida";NA;NA;"Diputado. Concejal en el Ayuntamiento de Lleida. Presidente del Grupo Municipal de CiU. Portavoz de la Comisión sobre Seguridad Vial y Movilidad Sostenible desde el 28/09/2016 al 05/03/2019.";"35-39"
"Antonio, Pradas Torres";"Hombre";1963;"PSOE";"Casado/a";"Educación Superior";"Sevilla";NA;NA;"Diputado. Secretario de Política Federal CEF PSOE (julio 2014-octubre 2016). Secretario General A.M. El Rubio. Sevilla. Miembro del Comité Director PSOE - A. Vocal Suplente de la Diputación Permanente. Presidente de la Comisión de Hacienda desde el 21/06/";"55-59"
"José Ignacio, Prendes Prendes";"Hombre";1965;"Ciudadanos";"Casado/a";"Educación Superior";"Asturias";NA;NA;"Diputado. Vicepresidente Primero de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP). Vicepresidente Primero del Congreso de los Diputados desde el 19/07/2016 al 05/03/2019. Vicepresi";"50-54"
"Pedro, Quevedo Iturbe";"Hombre";1956;"Nueva Canarias";"Casado/a";"Educación Superior";"Las Palmas";NA;NA;"Diputado. Consejero de Políticas Sociales y Sociosanitarias del Cabildo de Gran Canaria. Concejal del Ayuntamiento de Las Palmas de Gran Canaria. Vocal Suplente de la Diputación Permanente.";"60-64"
"María del Carmen, Quintanilla Barba";"Mujer";1954;"PP";"Divorciado/a";"Educación Superior";"Ciudad Real";NA;NA;"Diputada. Vicepresidenta de la Subcomisión de Discapacidad de la Comisión de Igualdad y no Discriminación de la Asamblea Parlamentaria del Consejo de Europa. Junta Directiva Nacional del PP. Presidenta de la Comisión Nacional del Mayor del PP. Miembro del";"65-69"
"Artemi, Rallo Lombarte";"Hombre";1965;"PSOE";"Divorciado/a";"Educación Superior";"Castellón";NA;NA;"Diputado. Secretario de Reformas Democráticas y Transparencia del PSV-PSOE. Secretario Primero de la Comisión de Justicia desde el 13/09/2016 al 05/03/2019
";"50-54"
"Saúl, Ramírez Freire";"Hombre";1976;"Ciudadanos";"Casado/a";"Educación Superior";"Las Palmas";NA;NA;"Diputado. Miembro Suplente de la Delegación española en el Grupo de Control Parlamentario Conjunto de Europol. Portavoz de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";"40-44"
"Elvira, Ramón Ultrabo";"Mujer";1966;"PSOE";"Casado/a";"Educación Superior";"Granada";NA;NA;"Diputada. Delegada de Igualdad y Bienestar social. Delegada Provincial de Salud de la Junta de Andalucía. Secretaria de Organización de la CEP.";"50-54"
"César Joaquín, Ramos Esteban";"Hombre";1975;"PSOE";"Casado/a";"Educación Superior";"Cáceres";NA;NA;"Diputado. Coordinador del Grupo de Gobierno Abierto del PSOE.  Secretario de Innovación del PSOE de Extremadura. Director de Desarrollo de empresa tecnológica. Portavoz de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";"40-44"
"María Tamara, Raya Rodríguez";"Mujer";1972;"PSOE";"Divorciado/a";"Educación Superior";"Santa Cruz de Tenerife";NA;NA;"Diputada. Concejala del Ayuntamiento de Puerto de la Cruz. Secretaria Primera de la Comisión de Economía y Empresa desde el 21/06/2018 al 05/03/2019.";"45-49"
"Patricia, Reyes Rivera";"Mujer";1973;"Ciudadanos";"Divorciado/a";"Educación Superior";"Madrid";NA;NA;"Diputada. Concejal portavoz de la oposición en el Ayuntamiento de Boadilla. Vocal de la Diputación Permanente
Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). Secretaria Cuarta del Congreso de los Diputados desde el 19/";"45-49"
"Águeda, Reynés Calvache";"Mujer";1967;"PP";"Casado/a";"Educación Superior";"Islas Baleares";NA;NA;"Diputada. Secretaria General de la Junta Local de Mahón del Partido Popular. Vicepresidenta Primera de la Comisión de segto. y eval. acuerdos Pacto de Estado Violencia Género desde el 18/04/2018 al 13/09/2018.";"50-54"
"Irene, Rivera Andrés";"Mujer";1969;"Ciudadanos";"Casado/a";"Educación Superior";"Málaga";NA;NA;"Diputada. Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";"50-54"
"Marta María, Rivera de la Cruz";"Mujer";1970;"Ciudadanos";"Soltero/a";"Educación Superior";"Madrid";NA;NA;"Diputada. Vocal Suplente de la Diputación Permanente. Presidenta de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019. ";"45-49"
"Albert, Rivera Díaz";"Hombre";1979;"Ciudadanos";"Soltero/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Vocal de la Diputación Permanente. Portavoz de la Comisión Constitucional desde el 12/09/2016 al 05/03/2019. Líder de Ciudadanos. ";"40-44"
"Jordi, Roca Mas";"Hombre";1970;"PP";"Casado/a";"Educación Superior";"Tarragona";NA;NA;"Diputado. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. ";"45-49"
"Isabel, Rodríguez García";"Mujer";1981;"PSOE";"No Consta";"Educación Superior";"Ciudad Real";NA;NA;"Diputada. Directora General de Juventud de Castilla-La Mancha (2007). Vocal Suplente de la Diputación Permanente. ";"35-39"
"Melissa, Rodríguez Hernández";"Mujer";1986;"Ciudadanos";"Soltero/a";"Educación Superior";"Santa Cruz de Tenerife";NA;NA;"Diputada. Diseñadora de joyas - marca propia ""Lepa punca"". Miembro del Comité Ejecutivo Nacional de Ciudadanos - C's. Portavoz de Ciudadanos en las Islas Canarias.Vocal Suplente de la Diputación Permanente. Miembro Titular de la Delegación española en la ";"30-34"
"Juana Amalia, Rodríguez Hernández";"Mujer";1955;"PSOE";"Casado/a";"Educación Superior";"Sevilla";NA;NA;"Diputada. Directora General de Defensa de la Competencia.  Secretaria General de Relaciones con el Parlamento. Secretaria General de Turismo de Andalucía.";"60-64"
"Ángela, Rodríguez Martínez";"Mujer";1989;"Podemos";"Soltero/a";"Educación Superior";"Pontevedra";NA;NA;"Diputada. Vicepresidenta Segunda de la Comisión de Igualdad desde el 14/09/2016 al 05/03/2019.";"30-34"
